,Название района,Музеи,Салоны красоты косметических услуг,Рестораны / кафе быстрого питания,Продовольственные магазины,"Городские парки развлечений, аттракционов",Рестораны,Аптеки по продаже лекарств,"Маммологические центры, больницы, клиники, поликлиники","Фитнес-клубы, центры, залы"
0,Академический,5.0,124.0,24.0,45.0,2.0,29.0,74.0,1.0,10.0
1,Арбат,24.0,171.0,49.0,20.0,25.0,110.0,34.0,2.0,25.0
2,Алексеевский,1.0,74.0,20.0,33.0,1.0,24.0,58.0,3.0,13.0
3,Аэропорт,5.0,79.0,26.0,29.0,1.0,21.0,59.0,4.0,10.0
4,Алтуфьевский,0,16.0,3.0,13.0,0,0,20.0,3.0,1.0
5,Бабушкинский,0,55.0,21.0,47.0,0,4.0,51.0,0,7.0
6,Бескудниковский,0,65.0,9.0,41.0,0,6.0,32.0,0,2.0
7,Бирюлево,2.0,9.0,16.0,27.0,0,4.0,32.0,1.0,2.0
8,Бутово,1.0,77.0,21.0,21.0,4.0,8.0,54.0,3.0,9.0
9,Басманный,22.0,402.0,134.0,69.0,9.0,157.0,121.0,13.0,53.0
10,Бибирево,0,51.0,47.0,46.0,2.0,14.0,77.0,0,6.0
11,Богородское,0,43.0,30.0,34.0,0,4.0,49.0,1.0,11.0
12,Бутово,0,134.0,19.0,85.0,1.0,14.0,107.0,6.0,11.0
13,Беговой,1.0,73.0,29.0,40.0,1.0,37.0,46.0,6.0,16.0
14,Бирюлево,0,51.0,19.0,52.0,0,11.0,62.0,1.0,9.0
15,Братеево,0,44.0,15.0,32.0,2.0,3.0,45.0,1.0,5.0
16,Бутырский,2.0,60.0,43.0,43.0,3.0,10.0,61.0,3.0,11.0
17,Вешняки,3.0,26.0,18.0,36.0,0,3.0,56.0,1.0,6.0
18,Войковский,1.0,60.0,37.0,43.0,2.0,24.0,59.0,4.0,14.0
19,Восточное,0,30.0,16.0,29.0,0,5.0,33.0,1.0,4.0
20,Внуково,0,7.0,7.0,18.0,0,3.0,10.0,0,1.0
21,Вороновское,0,2.0,0,17.0,0,6.0,5.0,0,1.0
22,Восточный,0,4.0,2.0,7.0,0,0,4.0,0,0
23,Внуковское,5.0,21.0,7.0,31.0,0,4.0,23.0,2.0,5.0
24,Воскресенское,0,3.0,3.0,9.0,1.0,1.0,10.0,0,1.0
25,Выхино-Жулебино,3.0,126.0,44.0,69.0,1.0,23.0,118.0,4.0,13.0
26,Гагаринский,2.0,84.0,16.0,26.0,1.0,28.0,59.0,1.0,11.0
27,Головинский,2.0,43.0,26.0,59.0,2.0,12.0,54.0,2.0,4.0
28,Гольяново,0,38.0,29.0,41.0,0,6.0,57.0,1.0,5.0
29,Даниловский,5.0,185.0,93.0,72.0,8.0,52.0,92.0,10.0,47.0
30,Десеновское,0,20.0,7.0,22.0,0,5.0,19.0,0,4.0
31,Дорогомилово,9.0,149.0,65.0,45.0,7.0,83.0,52.0,5.0,24.0
32,Дегунино,0,38.0,8.0,37.0,0,4.0,45.0,0,6.0
33,Дмитровский,1.0,27.0,18.0,44.0,0,4.0,41.0,0,6.0
34,Дегунино,0,43.0,18.0,28.0,0,7.0,36.0,2.0,4.0
35,Донской,5.0,84.0,38.0,34.0,2.0,36.0,33.0,2.0,20.0
36,Замоскворечье,20.0,221.0,69.0,55.0,2.0,120.0,77.0,11.0,36.0
37,Зюзино,1.0,57.0,19.0,42.0,1.0,21.0,49.0,2.0,7.0
38,Зябликово,0,35.0,22.0,31.0,6.0,5.0,44.0,2.0,5.0
39,Ивановское,2.0,22.0,17.0,33.0,0,3.0,44.0,1.0,3.0
40,Измайлово,33.0,84.0,54.0,64.0,2.0,28.0,79.0,2.0,9.0
41,Измайлово,0,38.0,26.0,15.0,1.0,6.0,47.0,0,7.0
42,Капотня,0,2.0,22.0,18.0,0,4.0,11.0,0,1.0
43,Кокошкино,0,1.0,2.0,8.0,0,0,4.0,0,0
44,Косино-Ухтомский,0,59.0,15.0,39.0,0,5.0,44.0,4.0,11.0
45,Красносельский,6.0,139.0,99.0,30.0,1.0,85.0,58.0,5.0,21.0
46,Кузьминки,4.0,46.0,38.0,42.0,1.0,12.0,55.0,2.0,5.0
47,Киевский,0,0,1.0,7.0,0,0,3.0,0,1.0
48,Коньково,1.0,95.0,37.0,40.0,1.0,15.0,70.0,5.0,18.0
49,Котловка,1.0,30.0,28.0,19.0,3.0,9.0,33.0,3.0,4.0
50,Крылатское,1.0,61.0,19.0,23.0,3.0,16.0,38.0,1.0,14.0
51,Кунцево,7.0,146.0,83.0,257.0,8.0,84.0,149.0,5.0,27.0
52,Кленовское,0,0,0,7.0,0,0,1.0,0,0
53,Коптево,2.0,46.0,13.0,61.0,0,7.0,47.0,2.0,10.0
54,Краснопахорское,0,1.0,6.0,12.0,0,1.0,4.0,0,0
55,Крюково,1.0,44.0,15.0,52.0,0,5.0,45.0,4.0,12.0
56,Куркино,2.0,68.0,7.0,15.0,1.0,13.0,30.0,3.0,18.0
57,Левобережный,2.0,38.0,33.0,23.0,1.0,7.0,49.0,3.0,2.0
58,Ломоносовский,0,96.0,5.0,27.0,0,17.0,50.0,1.0,13.0
59,Лефортово,7.0,51.0,49.0,43.0,4.0,21.0,61.0,7.0,16.0
60,Лосиноостровский,0,34.0,18.0,36.0,1.0,6.0,31.0,1.0,8.0
61,Лианозово,3.0,33.0,18.0,30.0,1.0,4.0,31.0,0,3.0
62,Люблино,4.0,58.0,52.0,89.0,1.0,15.0,85.0,5.0,9.0
63,Марушкинское,0,0,4.0,11.0,0,2.0,3.0,0,0
64,Марьино,0,172.0,72.0,114.0,13.0,28.0,140.0,6.0,23.0
65,Медведково,1.0,22.0,11.0,23.0,0,5.0,39.0,1.0,9.0
66,Митино,1.0,151.0,32.0,64.0,0,21.0,104.0,3.0,23.0
67,Молжаниновский,1.0,4.0,13.0,13.0,0,11.0,5.0,0,0
68,Мосрентген,0,7.0,17.0,14.0,0,1.0,10.0,0,0
69,Марфино,1.0,28.0,10.0,14.0,1.0,10.0,15.0,1.0,2.0
70,Матушкино,0,18.0,8.0,22.0,0,8.0,19.0,2.0,5.0
71,Метрогородок,1.0,8.0,7.0,18.0,0,1.0,9.0,4.0,0
72,Михайлово-Ярцевское,0,1.0,1.0,7.0,0,1.0,4.0,0,0
73,Москворечье-Сабурово,0,31.0,28.0,31.0,0,9.0,43.0,5.0,8.0
74,Марьина,4.0,56.0,50.0,34.0,1.0,28.0,50.0,0,7.0
75,Медведково,0,48.0,13.0,37.0,0,7.0,48.0,3.0,3.0
76,Мещанский,20.0,206.0,44.0,34.0,7.0,125.0,82.0,11.0,24.0
77,Можайский,0,75.0,29.0,65.0,0,10.0,75.0,5.0,11.0
78,Московский,0,71.0,46.0,43.0,5.0,21.0,61.0,1.0,14.0
79,Нагатино-Садовники,0,58.0,42.0,46.0,8.0,20.0,38.0,0,14.0
80,Некрасовка,0,45.0,4.0,15.0,0,0,42.0,0,3.0
81,Новокосино,0,44.0,10.0,43.0,1.0,6.0,46.0,2.0,3.0
82,Нагатинский,8.0,47.0,18.0,46.0,29.0,7.0,31.0,0,7.0
83,Нижегородский,0,17.0,38.0,52.0,2.0,10.0,26.0,1.0,6.0
84,Новопеределкино,0,56.0,10.0,20.0,0,9.0,52.0,1.0,7.0
85,Нагорный,1.0,63.0,41.0,37.0,1.0,12.0,56.0,5.0,8.0
86,Новогиреево,2.0,59.0,20.0,31.0,0,7.0,50.0,0,9.0
87,Новофедоровское,0,2.0,1.0,9.0,0,1.0,2.0,0,0
88,Обручевский,1.0,93.0,46.0,33.0,3.0,32.0,58.0,1.0,23.0
89,Останкинский,16.0,51.0,50.0,36.0,20.0,27.0,28.0,3.0,9.0
90,Орехово-Борисово,4.0,40.0,24.0,32.0,1.0,18.0,49.0,2.0,6.0
91,Отрадное,0,89.0,33.0,63.0,2.0,15.0,78.0,3.0,13.0
92,Орехово-Борисово,3.0,40.0,31.0,25.0,1.0,8.0,52.0,1.0,7.0
93,Очаково-Матвеевское,3.0,56.0,26.0,54.0,1.0,6.0,57.0,1.0,11.0
94,Первомайское,0,1.0,0,21.0,0,3.0,3.0,0,1.0
95,Покровское-Стрешнево,0,31.0,24.0,29.0,0,10.0,49.0,2.0,13.0
96,Проспект,0,62.0,16.0,22.0,0,17.0,35.0,3.0,10.0
97,Перово,2.0,77.0,47.0,68.0,1.0,17.0,87.0,3.0,9.0
98,Преображенское,4.0,55.0,34.0,32.0,1.0,14.0,43.0,1.0,12.0
99,Печатники,2.0,24.0,31.0,73.0,2.0,9.0,44.0,2.0,9.0
100,Пресненский,42.0,383.0,93.0,71.0,8.0,278.0,138.0,13.0,86.0
101,Раменки,4.0,153.0,29.0,42.0,2.0,63.0,67.0,7.0,21.0
102,Рязановское,1.0,14.0,4.0,24.0,0,3.0,13.0,1.0,2.0
103,Роговское,0,0,2.0,3.0,0,0,0,0,0
104,Рязанский,1.0,63.0,39.0,63.0,0,12.0,72.0,2.0,5.0
105,Ростокино,0,21.0,16.0,14.0,5.0,7.0,13.0,28.0,7.0
106,Савёлки,0,19.0,2.0,18.0,0,13.0,25.0,1.0,8.0
107,Северный,0,14.0,19.0,19.0,2.0,8.0,17.0,1.0,1.0
108,Соколиная,0,91.0,45.0,52.0,2.0,22.0,58.0,0,5.0
109,Сосенское,0,43.0,32.0,48.0,0,10.0,40.0,2.0,11.0
110,Савеловский,0,34.0,15.0,27.0,0,11.0,36.0,1.0,3.0
111,Силино,1.0,6.0,6.0,23.0,0,2.0,16.0,1.0,2.0
112,Сокольники,7.0,60.0,36.0,20.0,3.0,23.0,35.0,3.0,10.0
113,Старое,0,7.0,2.0,14.0,0,3.0,13.0,1.0,0
114,Свиблово,2.0,24.0,17.0,16.0,1.0,8.0,31.0,0,2.0
115,Сокол,2.0,45.0,14.0,28.0,1.0,16.0,39.0,1.0,15.0
116,Солнцево,1.0,58.0,19.0,41.0,0,8.0,50.0,3.0,8.0
117,Строгино,0,57.0,20.0,50.0,0,11.0,52.0,0,11.0
118,Таганский,17.0,306.0,70.0,63.0,3.0,115.0,127.0,17.0,37.0
119,Теплый,1.0,52.0,18.0,31.0,0,10.0,68.0,3.0,2.0
120,Тропарево-Никулино,2.0,112.0,38.0,23.0,0,42.0,69.0,1.0,30.0
121,Тверской,53.0,479.0,98.0,43.0,1.0,368.0,128.0,10.0,59.0
122,Тимирязевский,7.0,35.0,31.0,42.0,1.0,15.0,44.0,1.0,4.0
123,Тушино,0,63.0,28.0,30.0,1.0,3.0,67.0,1.0,2.0
124,Текстильщики,1.0,45.0,35.0,60.0,0,8.0,55.0,1.0,7.0
125,Троицк,2.0,31.0,14.0,38.0,0,5.0,30.0,0,6.0
126,Тушино,3.0,41.0,25.0,29.0,1.0,13.0,48.0,2.0,11.0
127,Филевский,3.0,63.0,46.0,45.0,3.0,19.0,63.0,1.0,20.0
128,Фили-Давыдково,0,58.0,21.0,43.0,0,18.0,51.0,4.0,7.0
129,Филимонковское,0,0,5.0,19.0,0,2.0,4.0,0,1.0
130,Хамовники,40.0,242.0,57.0,34.0,2.0,130.0,78.0,14.0,44.0
131,Хорошевский,6.0,110.0,56.0,31.0,7.0,33.0,61.0,2.0,16.0
132,Ховрино,0,45.0,9.0,36.0,0,8.0,44.0,1.0,12.0
133,Хорошево-Мневники,2.0,94.0,10.0,51.0,0,30.0,83.0,2.0,21.0
134,Царицыно,0,37.0,25.0,43.0,0,8.0,43.0,2.0,6.0
135,Черемушки,0,77.0,24.0,37.0,0,32.0,52.0,2.0,8.0
136,Чертаново,1.0,69.0,21.0,37.0,1.0,7.0,62.0,2.0,8.0
137,Чертаново,0,70.0,41.0,42.0,3.0,14.0,46.0,1.0,15.0
138,Чертаново,0,38.0,48.0,31.0,3.0,23.0,44.0,0,9.0
139,Щаповское,1.0,2.0,4.0,15.0,0,1.0,5.0,0,0
140,Щербинка,0,21.0,24.0,46.0,0,7.0,36.0,0,5.0
141,Щукино,5.0,101.0,27.0,28.0,5.0,22.0,70.0,3.0,16.0
142,Южнопортовый,0,72.0,52.0,75.0,3.0,14.0,69.0,1.0,12.0
143,Якиманка,15.0,112.0,64.0,12.0,0,68.0,28.0,5.0,19.0
144,Ярославский,2.0,36.0,19.0,40.0,0,9.0,34.0,1.0,6.0
145,Ясенево,1.0,47.0,51.0,37.0,4.0,15.0,75.0,1.0,10.0